rho,run,interval,dispatched_wind_MWh,net_revenue_USD
20.0,1,1,252.02690560596352,12601.345280298176
20.0,1,2,300.0,15231.316947941457
20.0,1,3,300.0,12638.61545189678
20.0,1,4,300.0,16395.358996702373
20.0,1,5,300.0,14260.373940478254
20.0,1,6,263.4865982191161,13174.329910955805
20.0,1,7,300.0,15637.053227424478
20.0,1,8,298.1361892814432,14656.768927846424
20.0,1,9,0.0,0.0
20.0,1,10,0.0,0.0
20.0,1,11,112.6306706601381,5631.533533006905
20.0,1,12,86.81586972960781,4340.79348648039
20.0,1,13,0.0,0.0
20.0,1,14,147.20149220495261,7360.0746102476305
20.0,1,15,0.0,0.0
20.0,1,16,19.273893062743696,963.6946531371848
20.0,1,17,150.79581532879638,7539.790766439819
20.0,1,18,300.0,13389.043034122084
20.0,1,19,300.0,15844.708264370109
20.0,1,20,300.0,15451.109260288147
20.0,1,21,294.2219122023213,12540.227656464433
20.0,1,22,236.91232353789258,11839.614411646675
20.0,1,23,300.0,15049.047719818953
20.0,1,24,300.0,14654.053796041222
20.0,2,1,300.0,15005.603485846132
20.0,2,2,300.0,13357.101037670753
20.0,2,3,300.0,15709.654291229766
20.0,2,4,223.7826363651251,10512.268716662811
20.0,2,5,300.0,15320.728403986708
20.0,2,6,300.0,15200.071732930735
20.0,2,7,151.1936770945906,7559.68385472953
20.0,2,8,300.0,15480.313795437569
20.0,2,9,210.99994565186205,10549.997282593102
20.0,2,10,157.12479496700848,7856.239748350425
20.0,2,11,87.60349956765504,4380.174978382752
20.0,2,12,0.0,0.0
20.0,2,13,0.0,0.0
20.0,2,14,139.41108722415026,6970.5543612075135
20.0,2,15,0.0,0.0
20.0,2,16,290.04409333369284,14132.05549537728
20.0,2,17,149.41773274765887,7470.886637382944
20.0,2,18,256.3448986042072,12785.337163283986
20.0,2,19,275.82104468071907,13791.052234035953
20.0,2,20,300.0,14597.301541397223
20.0,2,21,300.0,15328.822792759802
20.0,2,22,230.67717049111604,11533.858524555802
20.0,2,23,254.0336857365179,12701.684286825895
20.0,2,24,300.0,13828.824457142418
20.0,3,1,300.0,15606.051289538504
20.0,3,2,300.0,15307.770688137873
20.0,3,3,300.0,14553.971911012224
20.0,3,4,300.0,14808.030544566163
20.0,3,5,300.0,15595.846367091266
20.0,3,6,300.0,15306.210734720273
20.0,3,7,140.49516209093713,7024.758104546856
20.0,3,8,300.0,15367.8039663858
20.0,3,9,0.0,0.0
20.0,3,10,180.5433564495885,9027.167822479425
20.0,3,11,0.0,0.0
20.0,3,12,0.0,0.0
20.0,3,13,147.6847642517355,7384.238212586774
20.0,3,14,163.910126103401,8195.50630517005
20.0,3,15,0.0,0.0
20.0,3,16,37.323950092169866,1866.1975046084933
20.0,3,17,138.1983052698273,6909.915263491365
20.0,3,18,251.7859031843401,12589.295159217005
20.0,3,19,300.0,13879.431112286467
20.0,3,20,241.4018212033984,12070.091060169922
20.0,3,21,300.0,15880.103337415132
20.0,3,22,300.0,15391.615052679945
20.0,3,23,300.0,15355.739181112182
20.0,3,24,230.74368855241585,11537.184427620792
20.0,4,1,300.0,15308.274035764594
20.0,4,2,241.1197447991625,12055.987239958125
20.0,4,3,300.0,14176.51283839078
20.0,4,4,282.4680286700898,14123.401433504489
20.0,4,5,300.0,14942.32643933669
20.0,4,6,300.0,15613.28146196407
20.0,4,7,300.0,15484.513913509307
20.0,4,8,47.87863835732912,2393.9319178664564
20.0,4,9,197.97841079939872,9898.920539969935
20.0,4,10,0.0,0.0
20.0,4,11,129.33834006601273,6466.917003300637
20.0,4,12,0.0,0.0
20.0,4,13,98.68507933356432,4934.253966678216
20.0,4,14,0.0,0.0
20.0,4,15,0.0,0.0
20.0,4,16,300.0,15230.978444347169
20.0,4,17,135.41651496309623,6770.825748154812
20.0,4,18,300.0,15267.378654374454
20.0,4,19,236.86277667825743,11843.138833912872
20.0,4,20,300.0,13379.890725182942
20.0,4,21,248.31172741539046,12415.586370769523
20.0,4,22,276.8509750836266,13722.995662726982
20.0,4,23,300.0,13480.786807774984
20.0,4,24,265.0213113275189,13251.065566375944
20.0,5,1,300.0,15220.189019389369
20.0,5,2,300.0,14436.882852409539
20.0,5,3,237.28034740968462,11864.017370484231
20.0,5,4,300.0,14071.436617027262
20.0,5,5,267.7890752878692,13389.45376439346
20.0,5,6,237.1057652151967,11855.288260759835
20.0,5,7,159.139464802034,7956.973240101701
20.0,5,8,300.0,14262.852323906218
20.0,5,9,248.31573936154643,12415.786968077322
20.0,5,10,0.0,0.0
20.0,5,11,0.0,0.0
20.0,5,12,81.83078644855959,4091.5393224279796
20.0,5,13,94.43027232776069,4721.513616388034
20.0,5,14,165.74708745182068,8287.354372591033
20.0,5,15,243.97196179141588,12198.598089570794
20.0,5,16,300.0,15465.443290289184
20.0,5,17,166.97400350152952,8348.700175076476
20.0,5,18,232.03622782184289,11601.811391092144
20.0,5,19,300.0,13896.503439404023
20.0,5,20,300.0,14490.401005024672
20.0,5,21,300.0,13903.876232840963
20.0,5,22,276.93613951909936,13846.806975954967
20.0,5,23,258.5371575730172,12926.85787865086
20.0,5,24,241.6681228008964,12083.40614004482
20.0,6,1,300.0,15646.713162056809
20.0,6,2,245.85137003030752,12292.568501515376
20.0,6,3,300.0,15204.11165044383
20.0,6,4,300.0,14290.67524330665
20.0,6,5,300.0,15261.442384386051
20.0,6,6,300.0,14433.616212444671
20.0,6,7,150.40769271810302,7520.384635905151
