qu,run,t,dispatched_wind_MWh,wind_revenue_USD
20,1,1,300.0,13841.710541
20,1,2,300.0,15246.352934
20,1,3,242.111764,12105.588201
20,1,4,300.0,14125.243689
20,1,5,227.359273,11367.963661
20,1,6,300.0,15541.892617
20,1,7,140.094095,7004.704763
20,1,8,293.240029,13358.867902
20,1,9,213.791278,10689.563875
20,1,10,137.626753,6881.337669
20,1,11,0.0,0.0
20,1,12,113.889246,5694.46229
20,1,13,0.0,0.0
20,1,14,0.0,0.0
20,1,15,181.954726,9097.736296
20,1,16,295.460894,14773.04471
20,1,17,300.0,13733.984383
20,1,18,300.0,14838.2189
20,1,19,256.786553,12839.32764
20,1,20,300.0,13770.747343
20,1,21,239.490137,11153.986876
20,1,22,300.0,14429.866398
20,1,23,300.0,15076.665264
20,1,24,284.577425,12507.027026
20,2,1,300.0,15156.860953
20,2,2,300.0,14439.143146
20,2,3,300.0,15533.51793
20,2,4,300.0,14856.49065
20,2,5,300.0,15471.638776
20,2,6,217.256767,10645.650435
20,2,7,300.0,15308.830427
20,2,8,49.47814,2473.906994
20,2,9,210.689564,10534.478193
20,2,10,0.0,0.0
20,2,11,0.0,0.0
20,2,12,0.0,0.0
20,2,13,0.0,0.0
20,2,14,147.23271,7361.63548
20,2,15,226.081267,11304.063336
20,2,16,300.0,15218.894096
20,2,17,300.0,14445.478649
20,2,18,300.0,15379.593274
20,2,19,230.386556,11519.32781
20,2,20,209.571887,10478.594352
20,2,21,223.144934,11157.246701
20,2,22,219.17704,10958.852
20,2,23,300.0,15552.904881
20,2,24,275.288448,12643.989649
20,3,1,300.0,15440.787526
20,3,2,284.351487,13254.250172
20,3,3,206.867448,10343.372403
20,3,4,300.0,14582.423137
20,3,5,245.082442,12254.122097
20,3,6,250.134114,12506.705724
20,3,7,147.67371,7383.68548
20,3,8,24.644725,1232.236267
20,3,9,0.0,0.0
20,3,10,143.640865,7182.043229
20,3,11,0.0,0.0
20,3,12,0.0,0.0
20,3,13,0.0,0.0
20,3,14,0.0,0.0
20,3,15,202.551547,10127.577367
20,3,16,300.0,15501.633562
20,3,17,120.495212,6024.76059
20,3,18,274.659466,12315.321169
20,3,19,300.0,13848.046952
20,3,20,300.0,14967.431471
20,3,21,279.307971,13965.398539
20,3,22,258.665864,12238.033098
20,3,23,300.0,16083.230592
20,3,24,300.0,15006.009101
20,4,1,300.0,15001.561446
20,4,2,300.0,14361.785046
20,4,3,252.515086,12625.754287
20,4,4,300.0,16117.479595
20,4,5,300.0,15063.640167
20,4,6,255.324609,12766.230474
20,4,7,161.581164,8079.05822
20,4,8,300.0,15499.310423
20,4,9,0.0,0.0
20,4,10,162.685546,8134.277279
20,4,11,68.487511,3424.37555
