q_u,run,t,wind_dispatch_MWh,wind_revenue_USD
20,1,1,300.0,14000.0
20,1,2,300.0,14000.0
20,1,3,300.0,14000.0
20,1,4,300.0,14000.0
20,1,5,300.0,14000.0
20,1,6,300.0,14000.0
20,1,7,300.0,14000.0
20,1,8,300.0,14000.0
20,1,9,217.15728752538098,10857.864376269048
20,1,10,153.5898384862245,7679.4919243112245
20,1,11,113.6296694843727,5681.483474218635
20,1,12,100.0,5000.0
20,1,13,113.6296694843727,5681.483474218635
20,1,14,153.5898384862245,7679.4919243112245
20,1,15,217.15728752538087,10857.864376269043
20,1,16,299.99999999999983,13999.999999999995
20,1,17,300.0,14000.0
20,1,18,300.0,14000.0
20,1,19,300.0,14000.0
20,1,20,300.0,14000.0
20,1,21,300.0,14000.0
20,1,22,300.0,14000.0
20,1,23,300.0,14000.0
20,1,24,300.0,14000.0
20,2,1,300.0,14000.0
20,2,2,300.0,14000.0
20,2,3,300.0,14000.0
20,2,4,300.0,14000.0
20,2,5,300.0,14000.0
20,2,6,300.0,14000.0
20,2,7,300.0,14000.0
20,2,8,300.0,14000.0
20,2,9,217.15728752538098,10857.864376269048
20,2,10,153.5898384862245,7679.4919243112245
20,2,11,113.6296694843727,5681.483474218635
20,2,12,100.0,5000.0
20,2,13,113.6296694843727,5681.483474218635
20,2,14,153.5898384862245,7679.4919243112245
20,2,15,217.15728752538087,10857.864376269043
20,2,16,299.99999999999983,13999.999999999995
20,2,17,300.0,14000.0
20,2,18,300.0,14000.0
20,2,19,300.0,14000.0
20,2,20,300.0,14000.0
20,2,21,300.0,14000.0
20,2,22,300.0,14000.0
20,2,23,300.0,14000.0
20,2,24,300.0,14000.0
20,3,1,300.0,14000.0
20,3,2,300.0,14000.0
20,3,3,300.0,14000.0
20,3,4,300.0,14000.0
20,3,5,300.0,14000.0
20,3,6,300.0,14000.0
20,3,7,300.0,14000.0
20,3,8,300.0,14000.0
20,3,9,217.15728752538098,10857.864376269048
20,3,10,153.5898384862245,7679.4919243112245
20,3,11,113.6296694843727,5681.483474218635
20,3,12,100.0,5000.0
20,3,13,113.6296694843727,5681.483474218635
20,3,14,153.5898384862245,7679.4919243112245
20,3,15,217.15728752538087,10857.864376269043
20,3,16,299.99999999999983,13999.999999999995
20,3,17,300.0,14000.0
20,3,18,300.0,14000.0
20,3,19,300.0,14000.0
20,3,20,300.0,14000.0
20,3,21,300.0,14000.0
20,3,22,300.0,14000.0
20,3,23,300.0,14000.0
20,3,24,300.0,14000.0
20,4,1,300.0,14000.0
20,4,2,300.0,14000.0
20,4,3,300.0,14000.0
20,4,4,300.0,14000.0
20,4,5,300.0,14000.0
20,4,6,300.0,14000.0
20,4,7,300.0,14000.0
20,4,8,300.0,14000.0
20,4,9,217.15728752538098,10857.864376269048
20,4,10,153.5898384862245,7679.4919243112245
20,4,11,113.6296694843727,5681.483474218635
20,4,12,100.0,5000.0
20,4,13,113.6296694843727,5681.483474218635
20,4,14,153.5898384862245,7679.4919243112245
20,4,15,217.15728752538087,10857.864376269043
20,4,16,299.99999999999983,13999.999999999995
20,4,17,300.0,14000.0
20,4,18,300.0,14000.0
20,4,19,300.0,14000.0
20,4,20,300.0,14000.0
20,4,21,300.0,14000.0
20,4,22,300.0,14000.0
20,4,23,300.0,14000.0
20,4,24,300.0,14000.0
20,5,1,300.0,14000.0
20,5,2,300.0,14000.0
20,5,3,300.0,14000.0
20,5,4,300.0,14000.0
20,5,5,300.0,14000.0
20,5,6,300.0,14000.0
20,5,7,300.0,14000.0
20,5,8,300.0,14000.0
20,5,9,217.15728752538098,10857.864376269048
20,5,10,153.5898384862245,7679.4919243112245
20,5,11,113.6296694843727,5681.483474218635
20,5,12,100.0,5000.0
20,5,13,113.6296694843727,5681.483474218635
20,5,14,153.5898384862245,7679.4919243112245
20,5,15,217.15728752538087,10857.864376269043
20,5,16,299.99999999999983,13999.999999999995
20,5,17,300.0,14000.0
20,5,18,300.0,14000.0
20,5,19,300.0,14000.0
20,5,20,300.0,14000.0
20,5,21,300.0,14000.0
20,5,22,300.0,14000.0
20,5,23,300.0,14000.0
20,5,24,300.0,14000.0
20,6,1,300.0,14000.0
20,6,2,300.0,14000.0
20,6,3,300.0,14000.0
20,6,4,300.0,14000.0
20,6,5,300.0,14000.0
20,6,6,300.0,14000.0
20,6,7,300.0,14000.0
20,6,8,300.0,14000.0
20,6,9,217.15728752538098,10857.864376269048
20,6,10,153.5898384862245,7679.4919243112245
20,6,11,113.6296694843727,5681.483474218635
20,6,12,100.0,5000.0
20,6,13,113.6296694843727,5681.483474218635
20,6,14,153.5898384862245,7679.4919243112245
20,6,15,217.15728752538087,10857.864376269043
20,6,16,299.99999999999983,13999.999999999995
20,6,17,300.0,14000.0
20,6,18,300.0,14000.0
20,6,19,300.0,14000.0
20,6,20,300.0,14000.0
20,6,21,300.0,14000.0
20,6,22,300.0,14000.0
20,6,23,300.0,14000.0
20,6,24,300.0,14000.0
20,7,1,300.0,14000.0
20,7,2,300.0,14000.0
20,7,3,300.0,14000.0
20,7,4,300.0,14000.0
20,7,5,300.0,14000.0
20,7,6,300.0,14000.0
20,7,7,300.0,14000.0
20,7,8,300.0,14000.0
20,7,9,217.15728752538098,10857.864376269048
20,7,10,153.5898384862245,7679.4919243112245
20,7,11,113.6296694843727,5681.483474218635
20,7,12,100.0,5000.0
20,7,13,113.6296694843727,5681.483474218635
20,7,14,153.5898384862245,7679.4919243112245
20,7,15,217.15728752538087,10857.864376269043
20,7,16,299.99999999999983,13999.999999999995
20,7,17,300.0,14000.0
20,7,18,300.0,14000.0
20,7,19,300.0,14000.0
20,7,20,300.0,14000.0
20,7,21,300.0,14000.0
20,7,22,300.0,14000.0
20,7,23,300.0,14000.0
20,7,24,300.0,14000.0
20,8,1,300.0,14000.0
20,8,2,300.0,14000.0
20,8,3,300.0,14000.0
20,8,4,300.0,14000.0
20,8,5,300.0,14000.0
20,8,6,300.0,14000.0
20,8,7,300.0,14000.0
20,8,8,300.0,14000.0
20,8,9,217.15728752538098,10857.864376269048
20,8,10,153.5898384862245,7679.4919243112245
20,8,11,113.6296694843727,5681.483474218635
20,8,12,100.0,5000.0
20,8,13,113.6296694843727,5681.483474218635
20,8,14,153.5898384862245,7679.4919243112245
20,8,15,217.15728752538087,10857.864376269043
20,8,16,299.99999999999983,13999.999999999995
20,8,17,300.0,14000.0
20,8,18,300.0,14000.0
20,8,19,300.0,14000.0
20,8,20,300.0,14000.0
20,8,21,300.0,14000.0
20,8,22,300.0,14000.0
20,8,23,300.0,14000.0
20,8,24,300.0,14000.0
20,9,1,300.0,14000.0
20,9,2,300.0,14000.0
20,9,3,300.0,14000.0
20,9,4,300.0,14000.0
20,9,5,300.0,14000.0
20,9,6,300.0,14000.0
20,9,7,300.0,14000.0
20,9,8,300.0,14000.0
20,9,9,217.15728752538098,10857.864376269048
20,9,10,153.5898384862245,7679.4919243112245
20,9,11,113.6296694843727,5681.483474218635
20,9,12,100.0,5000.0
20,9,13,113.6296694843727,5681.483474218635
20,9,14,153.5898384862245,7679.4919243112245
20,9,15,217.15728752538087,10857.864376269043
20,9,16,299.99999999999983,13999.999999999995
20,9,17,300.0,14000.0
20,9,18,300.0,14000.0
20,9,19,300.0,14000.0
20,9,20,300.0,14000.0
20,9,21,300.0,14000.0
20,9,22,300.0,14000.0
20,9,23,300.0,14000.0
20,9,24,300.0,14000.0
20,10,1,300.0,14000.0
20,10,2,300.0,14000.0
20,10,3,300.0,14000.0
20,10,4,300.0,14000.0
20,10,5,300.0,14000.0
20,10,6,300.0,14000.0
20,10,7,300.0,14000.0
20,10,8,300.0,14000.0
20,10,9,217.15728752538098,10857.864376269048
20,10,10,153.5898384862245,7679.4919243112245
20,10,11,113.6296694843727,5681.483474218635
20,10,12,100.0,5000.0
20,10,13,113.6296694843727,5681.483474218635
20,10,14,153.5898384862245,7679.4919243112245
20,10,15,217.15728752538087,10857.864376269043
20,10,16,299.99999999999983,13999.999999999995
20,10,17,300.0,14000.0
20,10,18,300.0,14000.0
20,10,19,300.0,14000.0
20,10,20,300.0,14000.0
20,10,21,300.0,14000.0
20,10,22,300.0,14000.0
20,10,23,300.0,14000.0
20,10,24,300.0,14000.0
80,1,1,300.0,11000.0
80,1,2,300.0,11000.0
80,1,3,300.0,11000.0
80,1,4,300.0,11000.0
80,1,5,300.0,11000.0
80,1,6,300.0,11000.0
80,1,7,300.0,11000.0
80,1,8,300.0,11000.0
80,1,9,217.15728752538098,10857.864376269048
80,1,10,153.5898384862245,7679.4919243112245
80,1,11,113.6296694843727,5681.483474218635
80,1,12,100.0,5000.0
80,1,13,113.6296694843727,5681.483474218635
80,1,14,153.5898384862245,7679.4919243112245
80,1,15,217.15728752538087,10857.864376269043
80,1,16,299.99999999999983,11000.000000000004
80,1,17,300.0,11000.0
80,1,18,300.0,11000.0
80,1,19,300.0,11000.0
80,1,20,300.0,11000.0
80,1,21,300.0,11000.0
