q_u,run,t,wind_dispatch_MWh,wind_revenue_USD
20,1,1,254.84149471792477,12742.074735896238
20,1,2,249.51855453256417,12475.927726628208
20,1,3,300.0,14528.281106617895
20,1,4,300.0,14913.29018657402
20,1,5,300.0,15313.451333063911
20,1,6,218.69925914596377,10934.962957298188
20,1,7,300.0,14434.785194126924
20,1,8,300.0,16050.7751064394
20,1,9,0.0,0.0
20,1,10,160.669418374712,8033.4709187356
20,1,11,0.0,0.0
20,1,12,97.6342234400754,4881.71117200377
20,1,13,0.0,0.0
20,1,14,0.0,0.0
20,1,15,252.13626960066597,12606.8134800333
20,1,16,38.714231965112845,1935.7115982556422
20,1,17,300.0,13017.639058613504
20,1,18,280.864701046033,13576.441867666768
20,1,19,248.45089659431937,11712.517931512835
20,1,20,272.1100231047475,13605.501155237374
20,1,21,300.0,15365.025780150896
20,1,22,300.0,14146.50103198059
20,1,23,266.7809506433533,13339.047532167666
20,1,24,300.0,14959.83345720295
20,2,1,264.78614445381106,13239.307222690553
20,2,2,236.58352199929914,11344.639726276584
20,2,3,240.44469851068584,12022.234925534292
20,2,4,300.0,15953.889287764325
20,2,5,254.82527375559243,12741.263687779621
20,2,6,277.99245101498343,13899.62255074917
20,2,7,300.0,14653.463384639294
20,2,8,284.5633093218238,14030.721312345897
20,2,9,211.9067633386038,10595.33816693019
20,2,10,139.15637353329873,6957.818676664937
20,2,11,0.0,0.0
20,2,12,76.38010047644354,3819.0050238221775
20,2,13,0.0,0.0
20,2,14,0.0,0.0
20,2,15,224.73398936031776,11236.699468015888
20,2,16,38.34497754364975,1917.2488771824874
20,2,17,300.0,15508.312997349834
20,2,18,300.0,16214.950580965238
20,2,19,233.1323756440961,11656.618782204805
20,2,20,274.31213998090107,13524.884493296588
20,2,21,300.0,14344.043470242199
20,2,22,215.834624689787,10791.73123448935
20,2,23,300.0,15212.07314176447
20,2,24,300.0,15039.868355667872
20,3,1,242.60383745490435,12130.191872745218
20,3,2,246.8756472676837,12343.782363384184
20,3,3,246.9880046857361,12349.400234286804
20,3,4,193.8744683027188,9693.72341513594
20,3,5,248.69126001030372,12434.563000515187
20,3,6,300.0,15310.609209885466
20,3,7,300.0,14647.817983349256
20,3,8,13.461573100338569,673.0786550169285
20,3,9,0.0,0.0
20,3,10,0.0,0.0
20,3,11,0.0,0.0
20,3,12,84.74603092356676,4237.301546178338
20,3,13,0.0,0.0
20,3,14,0.0,0.0
20,3,15,0.0,0.0
20,3,16,48.57998664406307,2428.9993322031532
20,3,17,300.0,13764.861538961079
20,3,18,300.0,14408.92040390687
20,3,19,244.02652642504665,12201.326321252332
20,3,20,266.9003007365601,11251.97448709215
20,3,21,238.09662392442294,11871.106500984528
20,3,22,300.0,14734.855041866245
20,3,23,240.54154091453154,12027.077045726577
20,3,24,300.0,13536.29649448448
20,4,1,300.0,15206.693764771373
20,4,2,300.0,14983.596945661382
20,4,3,222.6343347745708,11131.716738728539
20,4,4,300.0,13290.388262857852
20,4,5,277.0615710855959,13489.016750570992
20,4,6,246.49996740289532,12324.998370144765
20,4,7,300.0,15233.821274655507
20,4,8,59.2234754330251,2961.1737716512553
20,4,9,0.0,0.0
20,4,10,159.76644138651,7988.3220693255
20,4,11,0.0,0.0
20,4,12,0.0,0.0
20,4,13,0.0,0.0
20,4,14,149.48103171283026,7474.051585641513
20,4,15,0.0,0.0
20,4,16,45.64519206111959,2282.2596030559794
20,4,17,155.19701747862882,7759.850873931441
20,4,18,225.67754383469503,11283.877191734751
20,4,19,269.6193531286981,13017.210776377417
20,4,20,261.2925943944666,13064.62971972333
20,4,21,300.0,15625.681655063447
20,4,22,300.0,15225.69871668986
20,4,23,212.95124898316294,10647.562449158148
20,4,24,300.0,15343.852880380773
20,5,1,300.0,13253.3940053324
20,5,2,300.0,14797.494463373161
20,5,3,267.1998230945908,13359.99115472954
20,5,4,300.0,13774.450979361452
20,5,5,300.0,14104.78290576361
20,5,6,300.0,13463.088332076255
20,5,7,300.0,15010.011105054184
20,5,8,284.53609797934666,14226.804898967333
20,5,9,204.79965344501477,10239.982672250739
20,5,10,179.6186441267772,8980.93220633886
20,5,11,133.67968524378728,6683.984262189364
20,5,12,0.0,0.0
20,5,13,103.78847105295574,5189.423552647787
20,5,14,0.0,0.0
20,5,15,196.08469360068034,9804.234680034016
20,5,16,300.0,14681.384559546685
20,5,17,300.0,15647.304242660492
20,5,18,225.25959122578342,11262.979561289172
20,5,19,266.58504819940947,13329.252409970473
20,5,20,300.0,14618.845201438284
20,5,21,257.9259619474534,12896.29809737267
20,5,22,205.44507270477357,10272.253635238678
20,5,23,300.0,15403.907574331995
20,5,24,268.14355655613815,12597.11941094862
