kappa,run,interval,wind_dispatched,wind_revenue
20,1,1,260.34894819494434,10876.392442466173
20,1,2,265.1467570406111,13257.337852030554
20,1,3,267.61885819288034,11989.606830518256
20,1,4,257.1751987461597,11499.190210235325
20,1,5,300.0,15101.511318525974
20,1,6,300.0,13810.468614310528
20,1,7,300.0,15714.581242268196
20,1,8,40.3682577573428,2018.4128878671402
20,1,9,189.62233348296718,9481.11667414836
20,1,10,156.41795696504118,7820.89784825206
20,1,11,125.53476454367501,6276.7382271837505
20,1,12,92.48201149449972,4624.100574724986
20,1,13,0.0,0.0
20,1,14,178.94046886455124,8947.023443227561
20,1,15,229.26711187573926,11463.355593786962
20,1,16,300.0,13869.446494872296
20,1,17,151.5468990260331,7577.344951301655
20,1,18,286.7290486834411,13798.826688476041
20,1,19,300.0,14766.428557596426
20,1,20,300.0,12671.69384463826
20,1,21,300.0,14225.870403944331
20,1,22,244.47448864278556,12223.724432139277
20,1,23,232.45777448663875,10326.906093525005
20,1,24,288.01215775839444,12855.664875554265
20,2,1,300.0,15181.619174258052
20,2,2,300.0,14672.847735763136
20,2,3,276.94710304684816,13601.911822730952
20,2,4,220.8458690301759,11042.293451508795
20,2,5,244.81092621662026,12240.546310831012
20,2,6,300.0,15445.486795860283
20,2,7,114.27685765200806,5713.842882600403
20,2,8,36.049273372828,1802.4636686413999
20,2,9,0.0,0.0
20,2,10,129.97574100366955,6498.787050183478
20,2,11,0.0,0.0
20,2,12,0.0,0.0
20,2,13,125.27188626337886,6263.594313168943
20,2,14,0.0,0.0
20,2,15,208.72042554360723,10436.021277180362
20,2,16,271.89103865744227,12546.677767536456
20,2,17,300.0,15281.031754447602
20,2,18,265.36731505835314,12839.40455773978
20,2,19,300.0,15153.111243530173
20,2,20,211.5059444670611,10575.297223353056
20,2,21,300.0,14716.025808235963
20,2,22,300.0,18232.460237992313
20,2,23,300.0,14290.079026215339
20,2,24,257.2242131014152,12793.167091035446
20,3,1,275.7024654972438,12913.912978977716
20,3,2,300.0,13893.27310458039
20,3,3,205.74951671622227,10266.877940911962
20,3,4,284.0773004432383,12999.934087238924
20,3,5,261.446689581423,12016.314416837162
20,3,6,231.96601489786747,11499.395447288423
20,3,7,300.0,14481.7189494483
20,3,8,286.5151143634397,14325.755718171984
20,3,9,0.0,0.0
